archive_path,title,mime_type,size_bytes,drive_id,view_url,action
2025/2025 Hamstra Trees.xlsx,2025 Hamstra Trees.xlsx,xlsx,14173,1_bz-vLvskBaEnBRi1aB6YVsdiAL-tBXv,https://drive.google.com/file/d/1_bz-vLvskBaEnBRi1aB6YVsdiAL-tBXv/view,extracted
2025/Hamstra Walnuts.xlsx,Hamstra Walnuts.xlsx,xlsx,9155,1f1HBQh3yyqJag8HQfjOTKBRIDqqELJ7F,https://drive.google.com/file/d/1f1HBQh3yyqJag8HQfjOTKBRIDqqELJ7F/view,extracted
2025/2025 Almonds.xlsx,2025 Almonds.xlsx,xlsx,9440,1JMP9yjpJuPfdPF_YZzINUpTG6Dq_r2wy,https://drive.google.com/file/d/1JMP9yjpJuPfdPF_YZzINUpTG6Dq_r2wy/view,extracted
2026/2026 Hamstra Corn.xlsx,2026 Hamstra Corn.xlsx,xlsx,147928,1bgHDYTDciohJKWNwnHBacRKolcNTgiU9,https://drive.google.com/file/d/1bgHDYTDciohJKWNwnHBacRKolcNTgiU9/view,extracted
2026/alfalfa-calendar-data (2).json,alfalfa-calendar-data (2).json,application/json,3018,1vF0UAWdV0i0fH28qalKodJl4zIm2KHIQ,https://drive.google.com/file/d/1vF0UAWdV0i0fH28qalKodJl4zIm2KHIQ/view,extract_failed
2026/2026 Hamstra Corn copy.xlsx,2026 Hamstra Corn copy.xlsx,xlsx,142731,1GyQQ_S4OpGhFN8TrghSz8uSQWYOIHcPb,https://drive.google.com/file/d/1GyQQ_S4OpGhFN8TrghSz8uSQWYOIHcPb/view,extracted
2026/2026 Hamstra Wheat.xlsx,2026 Hamstra Wheat.xlsx,xlsx,18695,1Fyi3z2nMMiK5n0S1fLb5w0MxkLaq4JYM,https://drive.google.com/file/d/1Fyi3z2nMMiK5n0S1fLb5w0MxkLaq4JYM/view,extracted
2026/2026 Hamstra Alfalfa.xlsx,2026 Hamstra Alfalfa.xlsx,xlsx,12391,1URVLGeabKRuV0PJWeHN4t-AS_mQO8Wsz,https://drive.google.com/file/d/1URVLGeabKRuV0PJWeHN4t-AS_mQO8Wsz/view,extracted
Hamstra Soil Samples/06-S157876 Hamstra Corn N soil.pdf,06-S157876 Hamstra Corn N soil.pdf,application/pdf,74049,16cxTqDHJBEAAH_ugLCbXcDYiA7R09JaD,https://drive.google.com/file/d/16cxTqDHJBEAAH_ugLCbXcDYiA7R09JaD/view,extracted
Hamstra Soil Samples/06-S156999 Hamstra Corn N 6-15-26.pdf,06-S156999 Hamstra Corn N 6-15-26.pdf,application/pdf,79455,1LwA09jRIqeH6ej0O7COVZ_LSy8UMWlwT,https://drive.google.com/file/d/1LwA09jRIqeH6ej0O7COVZ_LSy8UMWlwT/view,extracted
